"topic";"title";"projectID"
"HORIZON-MSCA-2024-DN-01-01";"MSCA Doctoral Networks 2024";"101225527"
"HORIZON-MSCA-2024-DN-01-01";"MSCA Doctoral Networks 2024";"101226528"
"HORIZON-MSCA-2024-DN-01-01";"MSCA Doctoral Networks 2024";"101226232"
"ERC-2025-POC";"ERC PROOF OF CONCEPT GRANTS";"101247472"
"HORIZON-EIC-2025-ACCELERATOR-02-OPEN-01";"EIC Accelerator Open 2025";"101248063"
"HORIZON-EIC-2025-ACCELERATOR-02-OPEN-01";"EIC Accelerator Open 2025";"101247655"
"ERC-2025-POC";"ERC PROOF OF CONCEPT GRANTS";"101248584"
"HORIZON-EIC-2025-ACCELERATOR-02-OPEN-01";"EIC Accelerator Open 2025";"101248376"
"HORIZON-WIDERA-2024-TALENTS-02-01";"ERA Fellowships";"101244517"
"ERC-2025-POC";"ERC PROOF OF CONCEPT GRANTS";"101247911"
"ERC-2025-POC";"ERC PROOF OF CONCEPT GRANTS";"101247621"
"HORIZON-WIDERA-2024-TALENTS-02-01";"ERA Fellowships";"101244526"
"ERC-2025-POC";"ERC PROOF OF CONCEPT GRANTS";"101241675"
"HORIZON-JU-CLEAN-AVIATION-2025-03-FTA-02";"Crashworthiness of fuselage integrated LH2 storage solutions";"101251003"
"ERC-2025-POC";"ERC PROOF OF CONCEPT GRANTS";"101248711"
"ERC-2025-POC";"ERC PROOF OF CONCEPT GRANTS";"101248723"
"ERC-2025-POC";"ERC PROOF OF CONCEPT GRANTS";"101248445"
"HORIZON-JU-CLEAN-AVIATION-2025-03-FTA-01";"Design and Integration of a High-Performance Battery System on a Hybrid-Electric Regional aircraft";"101251224"
"HORIZON-JU-CLEAN-AVIATION-2025-03-FTA-03";"Advanced Concepts for Reliable Power Electronics Conversion and Distribution in Aviation";"101251267"
"ERC-2024-ADG";"ERC ADVANCED GRANTS";"101197637"
"HORIZON-EIC-2024-ACCELERATORCHALLENGES-03B";"Emerging quantum technology components";"101188241"
"ERC-2025-STG";"ERC STARTING GRANTS";"101218031"
"ERC-2025-STG";"ERC STARTING GRANTS";"101219122"
"HORIZON-JTI-CLEANH2-2024-02-05";"Demonstration and deployment of multi-purpose Hydrogen Refuelling Stations combining road and airport, railway, and/or harbour applications";"101192497"
"HORIZON-JU-IHI-2024-08-04-two-stage";"Patient-Centred Clinical-Study Endpoints Derived Using Digital Health Technologies";"101218845"
"ERC-2025-STG";"ERC STARTING GRANTS";"101219162"
"HORIZON-MSCA-2024-PF-01-01";"MSCA Postdoctoral Fellowships 2024";"101211244"
"ERC-2025-STG";"ERC STARTING GRANTS";"101219032"
"ERC-2024-ADG";"ERC ADVANCED GRANTS";"101201020"
"ERC-2025-STG";"ERC STARTING GRANTS";"101202342"
"ERC-2025-STG";"ERC STARTING GRANTS";"101219356"
"HORIZON-MSCA-2024-PF-01-01";"MSCA Postdoctoral Fellowships 2024";"101207132"
"ERC-2025-STG";"ERC STARTING GRANTS";"101219552"
"ERC-2025-STG";"ERC STARTING GRANTS";"101220473"
"ERC-2025-STG";"ERC STARTING GRANTS";"101219977"
"ERC-2025-STG";"ERC STARTING GRANTS";"101220168"
"ERC-2025-STG";"ERC STARTING GRANTS";"101219936"
"ERC-2025-STG";"ERC STARTING GRANTS";"101221080"
"ERC-2025-STG";"ERC STARTING GRANTS";"101220769"
"ERC-2025-POC";"ERC PROOF OF CONCEPT GRANTS";"101246252"
"ERC-2025-STG";"ERC STARTING GRANTS";"101221056"
"ERC-2025-STG";"ERC STARTING GRANTS";"101222577"
"ERC-2025-STG";"ERC STARTING GRANTS";"101222215"
"ERC-2025-STG";"ERC STARTING GRANTS";"101221997"
"ERC-2025-STG";"ERC STARTING GRANTS";"101222199"
"ERC-2025-STG";"ERC STARTING GRANTS";"101222412"
"ERC-2025-STG";"ERC STARTING GRANTS";"101220950"
"ERC-2025-POC";"ERC PROOF OF CONCEPT GRANTS";"101247813"
"ERC-2025-POC";"ERC PROOF OF CONCEPT GRANTS";"101248128"
"HORIZON-EIC-2025-ACCELERATOR-02-OPEN-01";"EIC Accelerator Open 2025";"101248067"
"HORIZON-EIC-2025-ACCELERATOR-02-OPEN-01";"EIC Accelerator Open 2025";"101248127"
"HORIZON-EIC-2025-ACCELERATOR-02-OPEN-01";"EIC Accelerator Open 2025";"101248236"
"HORIZON-EURATOM-2025-EIPP";"Support the development and uptake of Ethics and Integrity Promotion Plans and Standard Operating Procedures";"101260292"
"ERC-2025-POC";"ERC PROOF OF CONCEPT GRANTS";"101248528"
"ERC-2025-STG";"ERC STARTING GRANTS";"101220340"
"ERC-2024-ADG";"ERC ADVANCED GRANTS";"101199408"
"HORIZON-CL5-2024-D3-02-06";"Innovative, Community-Integrated PV systems";"101230578"
"HORIZON-JU-IHI-2024-08-03-two-stage";"Modelling regulatory sandbox mechanisms  and enabling their deployment to support breakthrough innovation";"101219311"
"HORIZON-EIC-2025-ACCELERATOR-02-OPEN-01";"EIC Accelerator Open 2025";"101247760"
"HORIZON-CL5-2024-D1-01-02";"Inland ice, including snow cover, glaciers, ice sheets and permafrost, and their interaction with climate change";"101184939"
"ERC-2024-ADG";"ERC ADVANCED GRANTS";"101199314"
"ERC-2025-STG";"ERC STARTING GRANTS";"101220706"
"HORIZON-EIC-2025-ACCELERATOR-02-OPEN-01";"EIC Accelerator Open 2025";"101247696"
"ERC-2025-STG";"ERC STARTING GRANTS";"101221625"
"HORIZON-EIC-2024-ACCELERATOROPEN-01";"EIC Accelerator Open 2024";"101217724"
"ERC-2025-STG";"ERC STARTING GRANTS";"101223034"
"ERC-2025-STG";"ERC STARTING GRANTS";"101219179"
"HORIZON-MSCA-2024-PF-01-01";"MSCA Postdoctoral Fellowships 2024";"101205503"
"ERC-2024-ADG";"ERC ADVANCED GRANTS";"101201485"
"ERC-2025-STG";"ERC STARTING GRANTS";"101222417"
"ERC-2025-POC";"ERC PROOF OF CONCEPT GRANTS";"101248722"
"HORIZON-JU-EUROHPC-2025-AI-01-IBA-01";"Artificial Intelligence Factories";"101253078"
"HORIZON-JU-GH-EDCTP3-2024-01-01-two-stage";"Developing novel, innovative HIV therapeutics for reducing the disease burden of HIV in sub-Saharan Africa";"101190884"
"HORIZON-MSCA-2024-PF-01-01";"MSCA Postdoctoral Fellowships 2024";"101211299"
"ERC-2024-ADG";"ERC ADVANCED GRANTS";"101199672"
"ERC-2024-ADG";"ERC ADVANCED GRANTS";"101200307"
"ERC-2024-ADG";"ERC ADVANCED GRANTS";"101199577"
"ERC-2025-STG";"ERC STARTING GRANTS";"101219949"
"ERC-2024-ADG";"ERC ADVANCED GRANTS";"101201303"
"ERC-2025-STG";"ERC STARTING GRANTS";"101217736"
"ERC-2025-STG";"ERC STARTING GRANTS";"101219560"
"ERC-2025-STG";"ERC STARTING GRANTS";"101222259"
"ERC-2025-STG";"ERC STARTING GRANTS";"101222542"
"ERC-2025-STG";"ERC STARTING GRANTS";"101220305"
"ERC-2025-STG";"ERC STARTING GRANTS";"101221831"
"ERC-2025-STG";"ERC STARTING GRANTS";"101222766"
"ERC-2025-STG";"ERC STARTING GRANTS";"101221334"
"ERC-2025-POC";"ERC PROOF OF CONCEPT GRANTS";"101247532"
"ERC-2025-POC";"ERC PROOF OF CONCEPT GRANTS";"101248647"
"ERC-2024-ADG";"ERC ADVANCED GRANTS";"101200889"
"ERC-2024-ADG";"ERC ADVANCED GRANTS";"101199846"
"HORIZON-EIC-2025-ACCELERATOR-02-OPEN-01";"EIC Accelerator Open 2025";"101248173"
"ERC-2024-ADG";"ERC ADVANCED GRANTS";"101200948"
"ERC-2025-POC";"ERC PROOF OF CONCEPT GRANTS";"101248697"
"ERC-2025-STG";"ERC STARTING GRANTS";"101218797"
"ERC-2025-STG";"ERC STARTING GRANTS";"101222495"
"ERC-2024-ADG";"ERC ADVANCED GRANTS";"101200655"
"ERC-2025-STG";"ERC STARTING GRANTS";"101221800"
"ERC-2024-ADG";"ERC ADVANCED GRANTS";"101199822"
"ERC-2024-ADG";"ERC ADVANCED GRANTS";"101198605"
"ERC-2024-ADG";"ERC ADVANCED GRANTS";"101198742"
"ERC-2024-ADG";"ERC ADVANCED GRANTS";"101200545"
"ERC-2024-ADG";"ERC ADVANCED GRANTS";"101201241"
"ERC-2024-ADG";"ERC ADVANCED GRANTS";"101200199"
"HORIZON-MSCA-2024-PF-01-01";"MSCA Postdoctoral Fellowships 2024";"101210310"
"HORIZON-MSCA-2024-PF-01-01";"MSCA Postdoctoral Fellowships 2024";"101205602"
"ERC-2024-ADG";"ERC ADVANCED GRANTS";"101200949"
"ERC-2024-ADG";"ERC ADVANCED GRANTS";"101201472"
"ERC-2025-STG";"ERC STARTING GRANTS";"101219609"
"ERC-2025-STG";"ERC STARTING GRANTS";"101218152"
"ERC-2025-STG";"ERC STARTING GRANTS";"101219149"
"ERC-2025-STG";"ERC STARTING GRANTS";"101216416"
"ERC-2025-STG";"ERC STARTING GRANTS";"101219770"
"ERC-2025-STG";"ERC STARTING GRANTS";"101219875"
"ERC-2025-STG";"ERC STARTING GRANTS";"101219878"
"ERC-2025-STG";"ERC STARTING GRANTS";"101219976"
"ERC-2025-STG";"ERC STARTING GRANTS";"101220893"
"ERC-2025-STG";"ERC STARTING GRANTS";"101221061"
"ERC-2025-STG";"ERC STARTING GRANTS";"101219996"
"ERC-2025-STG";"ERC STARTING GRANTS";"101220385"
"ERC-2025-STG";"ERC STARTING GRANTS";"101220327"
"ERC-2025-STG";"ERC STARTING GRANTS";"101220843"
"ERC-2025-STG";"ERC STARTING GRANTS";"101221395"
"ERC-2025-STG";"ERC STARTING GRANTS";"101221828"
"ERC-2025-STG";"ERC STARTING GRANTS";"101222037"
"ERC-2025-STG";"ERC STARTING GRANTS";"101221131"
"ERC-2025-STG";"ERC STARTING GRANTS";"101221868"
"ERC-2025-STG";"ERC STARTING GRANTS";"101221993"
"ERC-2025-STG";"ERC STARTING GRANTS";"101221509"
"ERC-2025-STG";"ERC STARTING GRANTS";"101221985"
"ERC-2025-POC";"ERC PROOF OF CONCEPT GRANTS";"101248581"
"ERC-2025-POC";"ERC PROOF OF CONCEPT GRANTS";"101248649"
"ERC-2025-POC";"ERC PROOF OF CONCEPT GRANTS";"101248329"
"ERC-2025-STG";"ERC STARTING GRANTS";"101222387"
"ERC-2025-POC";"ERC PROOF OF CONCEPT GRANTS";"101248569"
"HORIZON-JU-CHIPS-2025-CSA-1";"A Pan-European infrastructure for Chips Design Innovation";"101252350"
"HORIZON-INFRA-2025-GAZA-IBA";"Action to support Gazan researchers";"101262261"
"ERC-2025-STG";"ERC STARTING GRANTS";"101217531"
"ERC-2025-STG";"ERC STARTING GRANTS";"101219430"
"ERC-2025-STG";"ERC STARTING GRANTS";"101219744"
"ERC-2024-ADG";"ERC ADVANCED GRANTS";"101201479"
"ERC-2025-STG";"ERC STARTING GRANTS";"101219239"
"ERC-2025-STG";"ERC STARTING GRANTS";"101220572"
"ERC-2025-STG";"ERC STARTING GRANTS";"101220198"
"HORIZON-EIC-2025-ACCELERATOR-02-CHALLENGES-03";"GenAI4EU: Creating European Champions in Generative AI";"101248153"
"HORIZON-EIC-2025-ACCELERATOR-02-OPEN-01";"EIC Accelerator Open 2025";"101247838"
"HORIZON-CL5-2024-D3-01-08";"Demonstration of sustainable wave energy farms";"101172728"
"ERC-2024-STG";"ERC STARTING GRANTS";"101164144"
"ERC-2024-ADG";"ERC ADVANCED GRANTS";"101199496"
"ERC-2024-ADG";"ERC ADVANCED GRANTS";"101199917"
"ERC-2024-ADG";"ERC ADVANCED GRANTS";"101200826"
"ERC-2024-ADG";"ERC ADVANCED GRANTS";"101200080"
"HORIZON-MSCA-2024-PF-01-01";"MSCA Postdoctoral Fellowships 2024";"101201468"
"ERC-2024-ADG";"ERC ADVANCED GRANTS";"101201249"
"ERC-2024-ADG";"ERC ADVANCED GRANTS";"101201772"
"ERC-2024-ADG";"ERC ADVANCED GRANTS";"101201163"
"HORIZON-MSCA-2024-PF-01-01";"MSCA Postdoctoral Fellowships 2024";"101201928"
"ERC-2024-ADG";"ERC ADVANCED GRANTS";"101200634"
"ERC-2024-ADG";"ERC ADVANCED GRANTS";"101201397"
"HORIZON-MSCA-2024-PF-01-01";"MSCA Postdoctoral Fellowships 2024";"101211155"
"HORIZON-WIDERA-2024-TALENTS-03-01";"ERA Talents";"101216854"
"HORIZON-MISS-2024-OCEAN-01-03";"Atlantic and Arctic sea basin lighthouse,   Mediterranean Sea basin lighthouse, Baltic and North Sea basin lighthouse - Reducing the environmental impacts of fisheries on marine species and habitats";"101212647"
"ERC-2025-STG";"ERC STARTING GRANTS";"101217479"
"ERC-2025-STG";"ERC STARTING GRANTS";"101217758"
"ERC-2025-STG";"ERC STARTING GRANTS";"101217774"
"ERC-2025-STG";"ERC STARTING GRANTS";"101218971"
"ERC-2025-STG";"ERC STARTING GRANTS";"101219395"
"HORIZON-JU-IHI-2024-08-02-two-stage";"Novel Endpoints for Osteoarthritis (OA) by applying Big Data Analytics";"101219324"
"ERC-2025-STG";"ERC STARTING GRANTS";"101219253"
"ERC-2025-STG";"ERC STARTING GRANTS";"101219400"
"ERC-2025-STG";"ERC STARTING GRANTS";"101220040"
"ERC-2025-STG";"ERC STARTING GRANTS";"101219747"
"ERC-2025-STG";"ERC STARTING GRANTS";"101220265"
"ERC-2025-STG";"ERC STARTING GRANTS";"101220401"
"ERC-2025-STG";"ERC STARTING GRANTS";"101220430"
"ERC-2025-STG";"ERC STARTING GRANTS";"101220318"
"ERC-2025-STG";"ERC STARTING GRANTS";"101221025"
"ERC-2025-STG";"ERC STARTING GRANTS";"101220945"
"ERC-2025-STG";"ERC STARTING GRANTS";"101220476"
"ERC-2025-STG";"ERC STARTING GRANTS";"101220901"
"ERC-2025-STG";"ERC STARTING GRANTS";"101220723"
"ERC-2025-STG";"ERC STARTING GRANTS";"101220938"
"ERC-2025-STG";"ERC STARTING GRANTS";"101221264"
"ERC-2025-STG";"ERC STARTING GRANTS";"101221534"
"ERC-2025-STG";"ERC STARTING GRANTS";"101221473"
"ERC-2025-STG";"ERC STARTING GRANTS";"101221563"
"ERC-2025-STG";"ERC STARTING GRANTS";"101221629"
"ERC-2025-STG";"ERC STARTING GRANTS";"101221760"
"ERC-2025-STG";"ERC STARTING GRANTS";"101222147"
"ERC-2025-STG";"ERC STARTING GRANTS";"101222104"
"ERC-2025-STG";"ERC STARTING GRANTS";"101222179"
"ERC-2025-STG";"ERC STARTING GRANTS";"101222225"
"ERC-2025-STG";"ERC STARTING GRANTS";"101222288"
"ERC-2025-STG";"ERC STARTING GRANTS";"101222226"
"ERC-2025-STG";"ERC STARTING GRANTS";"101222478"
"HORIZON-EIC-2024-PATHFINDERCHALLENGES-01-05";"Strengthening the sustainability and resilience of EU space infrastructure";"101223119"
"ERC-2025-STG";"ERC STARTING GRANTS";"101222516"
"ERC-2025-STG";"ERC STARTING GRANTS";"101222665"
"ERC-2025-STG";"ERC STARTING GRANTS";"101222457"
"ERC-2025-STG";"ERC STARTING GRANTS";"101222614"
"HORIZON-EIC-2024-PATHFINDERCHALLENGES-01-02";"Towards cement and concrete as a carbon sink";"101223135"
"ERC-2025-SyG";"ERC SYNERGY GRANTS";"101224275"
"ERC-2025-SyG";"ERC SYNERGY GRANTS";"101224291"
"ERC-2025-SyG";"ERC SYNERGY GRANTS";"101224581"
"ERC-2025-SyG";"ERC SYNERGY GRANTS";"101224892"
"ERC-2025-SyG";"ERC SYNERGY GRANTS";"101224406"
"ERC-2025-POC";"ERC PROOF OF CONCEPT GRANTS";"101246161"
"HORIZON-CL5-2024-D3-02-02";"Development of next generation synthetic renewable fuel technologies";"101235215"
"HORIZON-CL5-2024-D3-02-03";"Development of smart concepts of integrated energy driven bio-refineries for co-production of advanced biofuels, bio-chemicals and biomaterials";"101235233"
"ERC-2025-POC";"ERC PROOF OF CONCEPT GRANTS";"101247603"
"ERC-2025-POC";"ERC PROOF OF CONCEPT GRANTS";"101248440"
"HORIZON-ER-JU-2025-FA7-01";"Further Technological development of Maglev-derived Systems";"101254572"
"ERC-2025-POC";"ERC PROOF OF CONCEPT GRANTS";"101248749"
"HORIZON-JU-EUROHPC-2025-AI-01-IBA-01";"Artificial Intelligence Factories";"101250682"
"HORIZON-JU-CLEAN-AVIATION-2025-03-ACI-01";"Aircraft concept and key technologies integration and impact assessment";"101255025"
"HORIZON-JU-CLEAN-AVIATION-2025-03-SMR-03";"Ground Test Demonstration up to TRL5 of On-Board NPE Systems Architecture for SMR Aircraft";"101255065"
"HORIZON-JU-CLEAN-AVIATION-2025-03-REG-02";"Demonstration of On-board Systems relevant for hybridization of Regional aircraft";"101255537"
"HORIZON-HLTH-2025-05-EMBL-01-IBA";"Supporting European and global efforts to sustain the global biodata ecosystem";"101260366"
"HORIZON-CL4-2025-CONFERENCE-AI-IN-SCIENCE";"Presidency Event (conference) on AI in Science 2025";"101262612"
"HORIZON-CL6-2024-ZEROPOLLUTION-02-1-two-stage";"Holistic approaches for effective monitoring of water quality in urban areas ";"101181343"
"HORIZON-CL6-2024-CircBio-01-5";"Programmed biodegradation capability of bio-based materials and products, validated in specific environments";"101181970"
"HORIZON-CL5-2024-D5-01-08";"Competitiveness and digital transformation in aviation – advancing further composite aerostructures";"101192711"
"ERC-2025-POC";"ERC PROOF OF CONCEPT GRANTS";"101248663"
"HORIZON-HLTH-2025-04-GACD-01-IBA";"Grant to the Global Alliance for Chronic Diseases (GACD)";"101261864"
"ERC-2025-POC";"ERC PROOF OF CONCEPT GRANTS";"101248707"
"ERC-2025-STG";"ERC STARTING GRANTS";"101218927"
"ERC-2025-STG";"ERC STARTING GRANTS";"101221855"
"ERC-2025-STG";"ERC STARTING GRANTS";"101221573"
"ERC-2025-STG";"ERC STARTING GRANTS";"101220545"
"HORIZON-WIDERA-2024-TALENTS-03-01";"ERA Talents";"101217105"
"ERC-2025-STG";"ERC STARTING GRANTS";"101221934"
"ERC-2025-STG";"ERC STARTING GRANTS";"101219784"
"ERC-2025-STG";"ERC STARTING GRANTS";"101222089"
"ERC-2024-ADG";"ERC ADVANCED GRANTS";"101201272"
"ERC-2025-STG";"ERC STARTING GRANTS";"101217875"
"ERC-2025-STG";"ERC STARTING GRANTS";"101219354"
"ERC-2025-STG";"ERC STARTING GRANTS";"101219838"
"ERC-2025-STG";"ERC STARTING GRANTS";"101220145"
"ERC-2025-STG";"ERC STARTING GRANTS";"101219947"
"ERC-2025-STG";"ERC STARTING GRANTS";"101220363"
"ERC-2025-STG";"ERC STARTING GRANTS";"101219216"
"ERC-2025-STG";"ERC STARTING GRANTS";"101219583"
"ERC-2025-STG";"ERC STARTING GRANTS";"101219946"
"ERC-2024-ADG";"ERC ADVANCED GRANTS";"101201604"
"ERC-2025-STG";"ERC STARTING GRANTS";"101219601"
"ERC-2025-STG";"ERC STARTING GRANTS";"101219686"
"ERC-2025-STG";"ERC STARTING GRANTS";"101219964"
"ERC-2025-STG";"ERC STARTING GRANTS";"101220466"
"ERC-2025-STG";"ERC STARTING GRANTS";"101221099"
"ERC-2025-STG";"ERC STARTING GRANTS";"101220690"
"ERC-2025-STG";"ERC STARTING GRANTS";"101221757"
"ERC-2025-STG";"ERC STARTING GRANTS";"101222026"
"ERC-2025-STG";"ERC STARTING GRANTS";"101221337"
"ERC-2025-STG";"ERC STARTING GRANTS";"101221806"
"ERC-2025-STG";"ERC STARTING GRANTS";"101222068"
"ERC-2025-STG";"ERC STARTING GRANTS";"101221447"
"ERC-2025-STG";"ERC STARTING GRANTS";"101221517"
"ERC-2025-STG";"ERC STARTING GRANTS";"101221782"
"ERC-2025-STG";"ERC STARTING GRANTS";"101221649"
"ERC-2025-STG";"ERC STARTING GRANTS";"101222791"
"ERC-2025-STG";"ERC STARTING GRANTS";"101222715"
"ERC-2025-STG";"ERC STARTING GRANTS";"101222082"
"ERC-2025-STG";"ERC STARTING GRANTS";"101222185"
"ERC-2025-STG";"ERC STARTING GRANTS";"101222946"
"ERC-2025-POC";"ERC PROOF OF CONCEPT GRANTS";"101247544"
"HORIZON-EIC-2025-ACCELERATOR-02-OPEN-01";"EIC Accelerator Open 2025";"101248098"
"ERC-2025-POC";"ERC PROOF OF CONCEPT GRANTS";"101246053"
"ERC-2025-POC";"ERC PROOF OF CONCEPT GRANTS";"101248155"
"ERC-2025-POC";"ERC PROOF OF CONCEPT GRANTS";"101248667"
"HORIZON-WIDERA-2025-WIRE2026-IBA";"Presidency conferences with a European regional dimension - WIRE 2026";"101284192"
"HORIZON-JU-EUROHPC-2025-AI-01-IBA-01";"Artificial Intelligence Factories";"101250707"
"HORIZON-JU-CLEAN-AVIATION-2025-03-REG-03";"Flight Test Demonstration of Hybrid-Electric Propulsion for Regional aircraft";"101256955"
"HORIZON-HLTH-2025-06-PCYP-01-IBA";"Presidency event - Cyprus. Advancement of Treatments for Rare Diseases";"101297283"
"HORIZON-JU-CLEAN-AVIATION-2025-03-SMR-02";"Flight Test Demonstration of an Unducted Engine Architecture for SMR Aircraft";"101256962"
"HORIZON-EIT-2025-KIC-IBA-HEI";"Higher Education Initiative Business Plan 2026";"101270329"
"HORIZON-JU-CLEAN-AVIATION-2025-03-REG-01";"Demonstration of a Hybrid-Electric Propulsion System for Regional aircraft, including Pylon and Nacelle Integration and modification";"101256972"
"HORIZON-JU-CLEAN-AVIATION-2025-03-ACI-01";"Aircraft concept and key technologies integration and impact assessment";"101256949"
